Cancer Name,Topic ID,DIsplay_Name,,,
Lung Cancer,https://openalex.org/T10417,Lung Cancer Treatments and Mutations,,,
Lung Cancer,https://openalex.org/T10202,Lung Cancer Diagnosis and Treatment,,,
Lung Cancer,https://openalex.org/T12334,Lung Cancer Research Studies,,,
Breast Cancer,https://openalex.org/T10183,Breast Cancer Treatment Studies,,,
Breast Cancer,https://openalex.org/T12829,Advanced Breast Cancer Therapies,,,
Prostate Cancer,https://openalex.org/T10124,Prostate Cancer Diagnosis and Treatment,,,
Prostate Cancer,https://openalex.org/T10543,Prostate Cancer Treatment and Research,,,
Colorectal Cancer,https://openalex.org/T11369,Genetic factors in colorectal cancer,,,
Colorectal Cancer,https://openalex.org/T10552,Colorectal Cancer Screening and Detection,,,
Colorectal Cancer,https://openalex.org/T10335,Colorectal Cancer Surgical Treatments,,,
Colorectal Cancer,https://openalex.org/T11067,Colorectal Cancer Treatments and Studies,,,
Gastric Cancer,https://openalex.org/T10696,Gastric Cancer Management and Outcomes,,,
Liver Cancer,https://openalex.org/T10073,Hepatocellular Carcinoma Treatment and Prognosis,,,
Thyroid Cancer,https://openalex.org/T10329,Thyroid Cancer Diagnosis and Treatment,,,
Cervical Cancer,https://openalex.org/T10146,Cervical Cancer and HPV Research,,,
Cervical Cancer,https://openalex.org/T10668,Endometrial and Cervical Cancer Treatments,,,
Bladder Cancer,https://openalex.org/T10458,Bladder and Urothelial Cancer Treatments,,,
Non-Hodgkin Lymphoma,https://openalex.org/T10185,Lymphoma Diagnosis and Treatment,,,
Non-Hodgkin Lymphoma,https://openalex.org/T12212,CNS Lymphoma Diagnosis and Treatment,,,
Esophageal Cancer,https://openalex.org/T10619,Esophageal Cancer Research and Treatment,,,
Pancreatic Cancer ,https://openalex.org/C2780210213,,,,Did not show up under OpenAlex Topics
Leukemia,https://openalex.org/T10309,Acute Myeloid Leukemia Research,,,
Leukemia,https://openalex.org/T11559,Retinoids in leukemia and cellular processes,,,
Leukemia,https://openalex.org/T11157,Chronic Lymphocytic Leukemia Research,,,
Leukemia,https://openalex.org/T11215,Chronic Myeloid Leukemia Treatments,,,
Leukemia,https://openalex.org/T10950,Acute Lymphoblastic Leukemia research,,,
Renal Cancer,https://openalex.org/T12140,Renal and related cancers,,,
Endometrial Cancer,https://openalex.org/T10668,Endometrial and Cervical Cancer Treatments,,,
Head and Neck Cancer,ttps://openalex.org/T10307,Head and Neck Cancer Studies,,,
Skin Cancer,https://openalex.org/T11306,Nonmelanoma Skin Cancer Studies,,,
Skin Cancer,https://openalex.org/T11868,Cancer and Skin Lesions,,,
Ovarian Cancer,https://openalex.org/T10550,Ovarian cancer diagnosis and treatment,,,
Multiple Myeloma,https://openalex.org/T10649,Multiple Myeloma Research and Treatments,,,
Brain Cancer,https://openalex.org/T12702,Brain Tumor Detection and Classification,,,